ZipCode,StateCode,PrimaryCity,County
00911,PR,SAN JUAN,SOUTHERN
00911,PR,SAN JUAN,SOUTHERN
00911,PR,SAN JUAN,SOUTHERN
00911,PR,SAN JUAN,SOUTHERN
00915,PR,SAN JUAN,SOUTHERN
00918,PR,SAN JUAN,SOUTHERN
00918,PR,SAN JUAN,SOUTHERN
00918,PR,SAN JUAN,SOUTHERN
00918,PR,SAN JUAN,SOUTHERN
00918,PR,SAN JUAN,SOUTHERN
00968,PR,GUAYNABO,SOUTHERN
00924,PR,SAN JUAN,SOUTHERN
00924,PR,SAN JUAN,SOUTHERN
00924,PR,SAN JUAN,SOUTHERN
00926,PR,SAN JUAN,SOUTHERN
00926,PR,SAN JUAN,SOUTHERN
00927,PR,SAN JUAN,SOUTHERN
00925,PR,SAN JUAN,SOUTHERN
00924,PR,SAN JUAN,SOUTHERN
00925,PR,SAN JUAN,SOUTHERN
00921,PR,SAN JUAN,SOUTHERN
00918,PR,SAN JUAN,SOUTHERN
00968,PR,GUAYNABO,SOUTHERN
00936,PR,SAN JUAN,SOUTHERN
00979,PR,CAROLINA,SOUTHERN
00940,PR,SAN JUAN,SOUTHERN
00949,PR,TOA BAJA,SOUTHERN
00949,PR,TOA BAJA,SOUTHERN
00949,PR,TOA BAJA,SOUTHERN
00952,PR,SABANA SECA,SOUTHERN
00953,PR,TOA ALTA,SOUTHERN
00953,PR,TOA ALTA,SOUTHERN
00936,PR,SAN JUAN,SOUTHERN
00959,PR,BAYAMON,SOUTHERN
00957,PR,BAYAMON,SOUTHERN
00957,PR,BAYAMON,SOUTHERN
00959,PR,BAYAMON,SOUTHERN
00959,PR,BAYAMON,SOUTHERN
00961,PR,BAYAMON,SOUTHERN
00959,PR,BAYAMON,SOUTHERN
00962,PR,CATANO,SOUTHERN
00962,PR,CATANO,SOUTHERN
00962,PR,CATANO,SOUTHERN
00969,PR,GUAYNABO,SOUTHERN
00969,PR,GUAYNABO,SOUTHERN
00969,PR,GUAYNABO,SOUTHERN
00969,PR,GUAYNABO,SOUTHERN
00969,PR,GUAYNABO,SOUTHERN
00976,PR,TRUJILLO ALTO,SOUTHERN
00976,PR,TRUJILLO ALTO,SOUTHERN
00926,PR,SAN JUAN,SOUTHERN
